FIPS,County name,FiveYearAgeGroups,NetMig9500,NetMig0010,NetMig1020,Rate9500,Rate0010,Rate1020
1,Adams,0,0,-830,243,0,-0.022070359,0.006222402
1,Adams,5,3229,476,2077,0.114046551,0.012884366,0.052965966
1,Adams,10,2014,4269,2717,0.075413765,0.127627134,0.064557936
1,Adams,15,1522,1704,1939,0.05922179,0.056407031,0.047178175
1,Adams,20,5339,3251,2123,0.205180431,0.109343468,0.055211785
1,Adams,25,8663,10453,3384,0.298847799,0.292309843,0.091083361
1,Adams,30,5704,9744,5610,0.188942992,0.270381264,0.14986592
1,Adams,35,3429,4562,4406,0.115248882,0.133045583,0.104583246
1,Adams,40,2330,2257,2130,0.080995585,0.071989028,0.052349483
1,Adams,45,973,500,1749,0.040772712,0.016497839,0.046877814
1,Adams,50,1132,1078,358,0.054863568,0.038079763,0.0108561
1,Adams,55,640,1172,949,0.044577558,0.049961634,0.030769258
1,Adams,60,-143,635,-456,-0.012748507,0.033326336,-0.016510732
1,Adams,65,-221,-43,-743,-0.024536472,-0.003422477,-0.033915343
1,Adams,70,59,-233,-1211,0.00794185,-0.025877388,-0.072831998
1,Adams,75,-59,-92,-569,-0.010819732,-0.013344938,-0.055153753
1,Adams,80,226,50,-120,0.073186528,0.010412328,-0.018125459
1,Adams,85,537,76,-17,0.323688969,0.028337062,-0.004114837
3,Alamosa,0,0,-36,8,0,-0.030025021,0.007404369
3,Alamosa,5,-43,-123,89,-0.037229437,-0.117254528,0.074180295
3,Alamosa,10,-121,-50,56,-0.100665557,-0.052410901,0.043434093
3,Alamosa,15,205,192,425,0.13015873,0.146901301,0.280004646
3,Alamosa,20,161,477,633,0.105504587,0.297938788,0.401352175
3,Alamosa,25,-309,-373,-302,-0.325605901,-0.34095064,-0.314218092
3,Alamosa,30,-179,-529,-256,-0.201803833,-0.59841629,-0.262376879
3,Alamosa,35,8,-10,0,0.007759457,-0.012062726,0
3,Alamosa,40,0,5,43,0,0.00635324,0.04719327
3,Alamosa,45,-102,82,17,-0.094707521,0.081836327,0.019639927
3,Alamosa,50,-76,89,56,-0.082698585,0.08025248,0.070743054
3,Alamosa,55,75,73,19,0.120772947,0.072063179,0.019236713
3,Alamosa,60,42,81,5,0.081553398,0.094405594,0.004683942
3,Alamosa,65,5,83,-52,0.011574074,0.143350604,-0.05532662
3,Alamosa,70,15,61,-63,0.043859649,0.139908257,-0.087674406
3,Alamosa,75,17,30,-58,0.065891473,0.098360656,-0.130836544
3,Alamosa,80,0,73,-32,0,0.313304721,-0.107064797
3,Alamosa,85,-4,40,-22,-0.029850746,0.281690141,-0.130222095
5,Arapahoe,0,0,187,498,0,0.004598888,0.011499834
5,Arapahoe,5,2399,2428,1764,0.065753049,0.05865301,0.040756771
5,Arapahoe,10,2677,6652,3722,0.070012554,0.165119396,0.080722663
5,Arapahoe,15,-220,2686,1717,-0.0064168,0.06867282,0.038031302
5,Arapahoe,20,591,-3215,-920,0.019548822,-0.092041225,-0.022771551
5,Arapahoe,25,8595,8921,2059,0.227905497,0.207658287,0.04423378
5,Arapahoe,30,5108,11954,12486,0.13533994,0.286199962,0.241971414
5,Arapahoe,35,1979,4278,8030,0.046913522,0.102498982,0.144147398
5,Arapahoe,40,2237,3126,3574,0.050677359,0.07701594,0.073783497
5,Arapahoe,45,1275,1125,3677,0.031232394,0.026397297,0.079184823
5,Arapahoe,50,-938,-362,2068,-0.02718289,-0.008473386,0.046762632
5,Arapahoe,55,-1575,-2053,2796,-0.069894382,-0.055004823,0.063878185
5,Arapahoe,60,-544,-2398,72,-0.03453749,-0.078628107,0.001768457
5,Arapahoe,65,-563,-1519,-842,-0.046109746,-0.078331271,-0.024965472
5,Arapahoe,70,-156,-618,-1794,-0.014740622,-0.046754426,-0.067075638
5,Arapahoe,75,283,151,-776,0.031146819,0.015033851,-0.046901904
5,Arapahoe,80,303,503,-126,0.054165177,0.06518077,-0.012362335
5,Arapahoe,85,924,743,188,0.286422815,0.143297975,0.029686755
7,Archuleta,0,0,7,-8,0,0.011627907,-0.014005457
7,Archuleta,5,163,54,116,0.244011976,0.085987261,0.170244277
7,Archuleta,10,119,201,234,0.146732429,0.27994429,0.309923832
7,Archuleta,15,-44,30,239,-0.058666667,0.043859649,0.35160934
7,Archuleta,20,-102,-318,38,-0.247572816,-0.694323144,0.062597235
7,Archuleta,25,65,-134,-22,0.140692641,-0.240574506,-0.036720023
7,Archuleta,30,105,224,204,0.217842324,0.390924956,0.364180552
7,Archuleta,35,125,167,281,0.164473684,0.291958042,0.375330122
7,Archuleta,40,154,223,298,0.170921199,0.344667697,0.392583804
7,Archuleta,45,151,279,274,0.156801661,0.297758805,0.369658855
7,Archuleta,50,227,325,291,0.256207675,0.295723385,0.359102455
7,Archuleta,55,233,352,296,0.326788219,0.29480737,0.272817715
7,Archuleta,60,106,514,228,0.20662768,0.405682715,0.187595777
7,Archuleta,65,126,238,276,0.270386266,0.290598291,0.218338854
7,Archuleta,70,-19,142,87,-0.054131054,0.269449715,0.072611575
7,Archuleta,75,-23,35,55,-0.112745098,0.092838196,0.079374347
7,Archuleta,80,-24,27,26,-0.244897959,0.112033195,0.065656725
7,Archuleta,85,-19,55,25,-0.37254902,0.462184874,0.109933998
9,Baca,0,0,17,13,0,0.079812207,0.062732984
9,Baca,5,-4,30,40,-0.014981273,0.15,0.178012964
9,Baca,10,-11,-21,35,-0.033333333,-0.087136929,0.156865702
9,Baca,15,-58,-19,-2,-0.171597633,-0.077235772,-0.011238605
9,Baca,20,-98,-181,-41,-0.616352201,-1.392307692,-0.240419473
9,Baca,25,37,-108,-45,0.191709845,-0.54,-0.253600017
9,Baca,30,8,34,54,0.038461538,0.208588957,0.448174475
9,Baca,35,14,10,49,0.050909091,0.057142857,0.240569696
9,Baca,40,-40,23,51,-0.116959064,0.116751269,0.298644447
9,Baca,45,13,41,31,0.03880597,0.161417323,0.171316999
9,Baca,50,27,34,25,0.096085409,0.117647059,0.124356802
9,Baca,55,31,53,25,0.117424242,0.182758621,0.098979766
9,Baca,60,-4,86,3,-0.017621145,0.333333333,0.010975019
9,Baca,65,13,79,-19,0.054621849,0.344978166,-0.073419033
9,Baca,70,-5,77,-3,-0.020746888,0.413978495,-0.014332715
9,Baca,75,-13,56,-24,-0.057017544,0.329411765,-0.138057351
9,Baca,80,7,47,-17,0.04375,0.333333333,-0.135618712
9,Baca,85,63,47,-9,0.692307692,0.3671875,-0.097900844
11,Bent,0,0,-17,20,0,-0.059649123,0.063833728
11,Bent,5,-73,-15,69,-0.20505618,-0.051194539,0.281091405
11,Bent,10,49,-18,31,0.114219114,-0.055555556,0.108874018
11,Bent,15,57,-58,2,0.131639723,-0.202797203,0.007518413
